click_id,timestamp,type,campaign,banner,content_unit,network,browser,operating_system,country,state,city
"7,02765742224802E+018",1636254001,CLICK_COMMAND,1497737,5088725,3397673,8,0,6,0,0,0
"7,02765743083612E+018",1636254003,DYNAMIC,1751308,9487297,3596567,42,6,3,0,0,0
"7,02765744372096E+018",1636254007,DYNAMIC,4824484,14840628,4386889,241,6,5,1,2,35187
"7,02765744801678E+018",1636254008,DYNAMIC,4641002,14716415,4528179,71,30,14,1,5,2386
"7,02765749096566E+018",1636254017,DYNAMIC,2912047,9482468,4350366,3368,11,6,25,188,46029
"7,02765755109887E+018",1636254031,SUBREQUEST_PARENT,1907433,14055974,3769572,42,0,12,1,2,528526
"7,02765761122671E+018",1636254045,CLICK_COMMAND,4788109,14934034,4500165,268,8,5,3,40,89092
"7,02765761981271E+018",1636254047,DYNAMIC,4713978,14854838,4690247,268,8,5,246,845,1060031
"7,02765762840711E+018",1636254049,DYNAMIC,4744453,14620702,4567672,3567,11,17,7,5459,82796
"7,02765767564991E+018",1636254060,CLICK_COMMAND,4849311,14927437,4630638,3334,11,12,1,10,207114
"7,02765768853311E+018",1636254063,DYNAMIC,4824484,14840628,4386889,241,15,17,1,13,1789
"7,02765772719089E+018",1636254072,CLICK_COMMAND,4046554,12179172,3422231,268,11,6,7,2582,81722
"7,02765773148344E+018",1636254073,CLICK_COMMAND,4740182,14689672,4334562,268,0,0,105,1181,56865
"7,02765774007442E+018",1636254075,CLICK_COMMAND,4843838,14936355,4701958,270,11,12,1,7,1712
"7,02765774436984E+018",1636254076,CLICK_COMMAND,4743804,14649930,2982629,270,0,0,105,1181,56865
"7,02765775296889E+018",1636254078,SUBREQUEST_PARENT,1907433,6549021,3702470,42,15,17,1,1,1765
"7,02765776584527E+018",1636254081,CLICK_COMMAND,4772424,14727980,4695698,270,0,0,105,1181,56865
"7,02765777443488E+018",1636254083,CLICK_COMMAND,4853618,14940203,4569224,250,0,0,173,1989,67281
"7,02765778732293E+018",1636254086,CLICK_COMMAND,4718315,14565871,4535412,3334,0,0,7,2597,87021
"7,0276578002056E+018",1636254089,CLICK_COMMAND,4718271,14565533,4648939,3334,8,5,0,0,0
"7,02765785603755E+018",1636254102,DYNAMIC,4668034,14648107,4528674,71,11,17,1,1,383312
"7,02765786463778E+018",1636254104,SUBREQUEST_PARENT,1907433,14055974,3769572,42,11,12,1,1,124814
"7,02765786892521E+018",1636254105,CLICK_COMMAND,4834961,14926082,4701219,270,30,12,1,10,207057
"7,02765788181299E+018",1636254108,CLICK_COMMAND,4705740,14515279,4573072,3341,11,12,1,9,620577
"7,02765789898827E+018",1636254112,DYNAMIC,4668338,14440111,4650220,3637,8,14,1,2,94087
"7,02765790757926E+018",1636254114,CLICK_COMMAND,3816040,11596357,4560311,268,11,12,1,2,3324
"7,0276579075925E+018",1636254115,SUBREQUEST_PARENT,1907433,14054316,3769572,42,11,12,2,51,952576
"7,02765791616834E+018",1636254116,CLICK_COMMAND,3350692,10404670,4311926,3282,6,5,183,2166,68868
"7,02765792046114E+018",1636254117,CLICK_COMMAND,4834962,14880198,4661202,250,11,12,1,3,482412
"7,02765794193605E+018",1636254122,DYNAMIC,4781465,14717409,4352567,408,8,14,1,7,1712
"7,02765794623121E+018",1636254123,DYNAMIC,4818317,14819841,3557697,3145,11,12,1,3,206515
"7,02765741795089E+018",1636254000,CLICK_COMMAND,3350692,10404670,4311926,3282,6,6,109,1203,56992
"7,02765742225267E+018",1636254001,CLICK_COMMAND,1497732,5088675,3397658,6,0,6,0,0,0
"7,02765745230925E+018",1636254008,DYNAMIC,4799702,14770779,4291409,408,11,12,1,10,1763
"7,02765746949076E+018",1636254012,CLICK_COMMAND,4046554,12179172,3422231,268,11,6,7,2582,81722
"7,02765758545933E+018",1636254040,DYNAMIC,4784863,14786482,4695753,3652,0,14,1,10,207151
"7,0276575897501E+018",1636254040,DYNAMIC,4803920,14783595,3769573,42,0,12,1,13,1022183
"7,02765760692781E+018",1636254044,DYNAMIC,4768275,14689640,4386889,241,11,6,25,188,46029
"7,02765760692801E+018",1636254044,DYNAMIC,4781465,14717409,4352567,408,11,12,1,10,19454
"7,02765761981612E+018",1636254047,CLICK_COMMAND,4848234,14924851,4517167,3374,8,5,1,7,1712
"7,02765766705847E+018",1636254058,DYNAMIC,4718016,14551755,3557687,3145,11,12,7,2552,71301
"7,02765767135691E+018",1636254059,DYNAMIC,4500897,13985474,3769558,42,11,12,2,51,952576
"7,02765768853239E+018",1636254063,DYNAMIC,4809030,14806999,4620773,71,15,17,1,13,2384
"7,02765768853861E+018",1636254063,DYNAMIC,4740365,14603822,3769573,42,0,12,217,2446,70406
"7,02765771430619E+018",1636254069,DYNAMIC,4735963,14589205,4579258,456,11,12,1,10,207151
"7,02765771859932E+018",1636254070,DYNAMIC,4829863,14930952,3596567,42,11,17,1,10,35430
"7,02765775295683E+018",1636254078,DYNAMIC,4781465,14717409,4352567,408,8,14,1,2,3324
"7,02765778302409E+018",1636254085,CLICK_COMMAND,3459141,10685112,4311926,3282,8,14,7,2571,77910
"7,02765784315829E+018",1636254099,SUBREQUEST_PARENT,1907433,14050970,3769566,42,0,12,1,6,11322
"7,02765786033626E+018",1636254103,DYNAMIC,3912935,11931061,4575816,42,11,12,1,10,1769
"7,02765788181109E+018",1636254108,CLICK_COMMAND,4848743,14927139,4701288,270,11,12,7,5459,82796
"7,02765790330369E+018",1636254113,DYNAMIC,3304669,10286350,3615784,42,8,14,1,11,3321
"7,02765790759348E+018",1636254114,SUBREQUEST_PARENT,1907433,14050970,3769566,42,0,12,1,10,1710
"7,02765742653932E+018",1636254002,CLICK_COMMAND,1333000,4845126,3397212,32,0,6,0,0,0
"7,02765748238667E+018",1636254015,SUBREQUEST_PARENT,1907433,14055981,3769572,42,0,12,1,3,1739
"7,02765752532409E+018",1636254025,DYNAMIC,4762669,14745650,4694473,3137,15,17,2,51,1703
"7,02765754250599E+018",1636254029,CLICK_COMMAND,4311883,14324916,4696709,270,0,0,1,7,1712
"7,02765754681216E+018",1636254030,DYNAMIC,4834073,14873200,4504721,42,0,12,1,16,96888
"7,02765755109474E+018",1636254031,SUBREQUEST_PARENT,1907433,6517883,3769543,42,15,17,1,1,206326
"7,02765755109645E+018",1636254032,DYNAMIC,4768495,14771281,4528558,71,11,12,1,3,94752
"7,02765758115847E+018",1636254038,CLICK_COMMAND,3627337,11094409,4529255,3282,0,0,7,5475,83830
"7,02765762840278E+018",1636254049,DYNAMIC,4781465,14717409,4352567,408,0,14,1,10,1710
"7,02765763699422E+018",1636254051,CLICK_COMMAND,3485248,10752060,4117394,250,0,0,74,6355,50961
"7,02765764128775E+018",1636254052,DYNAMIC,4803470,14782671,4386889,241,8,5,129,1507,63117
"7,02765764987775E+018",1636254054,CLICK_COMMAND,3351869,10406152,4311903,3282,0,0,7,2554,72185
